name,brand,sku,category,revenue,momentum,claims,ingredients
Hardcore Creatine Powder,Precision Engineered,DSLD-552,Energy & Performance,1704081,9.4,Derived from red meat and fish Creatine is a key player in energy transfer within muscles. The majority of the body’s Creatine is located in the skeletal muscles where it exists in free form and as creatine phosphate.As a supplement that helps to promote athletic performance Creatine enhances the ability to produce higher muscular force especially during short bouts of maximal exercise. Creatine is an excellent supplemental choice for athletes and active adults. HARDCORE SERIES MUSCLE STRENGTH POWER & RECOVERY Precision Engineered has pioneered the manufacture of premium sports nutrition supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it. Benefits may vary. Use in conjunction with an intense daily exercise program and a balanced diet including an adequate caloric intake. CREATINE,HPLC Pure Creatine Monohydrate
Hardcore Creatine Powder,Precision Engineered,DSLD-553,Energy & Performance,3569919,8.6,Benefits may vary. Use in conjunction with an intense daily exercise program and a balanced diet including an adequate caloric intake. CREATINE Derived from red meat and fish Creatine is a key player in energy transfer within muscles. The majority of the body’s Creatine is located in the skeletal muscles where it exists in free form and as creatine phosphate.As a supplement that helps to promote athletic performance Creatine enhances the ability to produce higher muscular force especially during short bouts of maximal exercise. Creatine is an excellent supplemental choice for athletes and active adults. HARDCORE SERIES MUSCLE STRENGTH POWER & RECOVERY Precision Engineered has pioneered the manufacture of premium sports nutrition supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it.,HPLC Pure Creatine Monohydrate
Echinacea With Goldenseal Root,Vitamin World,DSLD-554,Immunity,895365,7.1,Supports Healthy Immune Function Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Vitamin World's Guarantee: We use only the finest quality herbs and spices.  Each is screened and finely milled for quick release. Vitamin World's Natural Whole Herb products utilize ground plant parts to provide the natural components in the amounts found in nature. Vitamin World's preservative-free gelatin capsules contain pure milled herb powder. Get healthy.,Echinacea/Goldenseal Blend; Echinacea; Goldenseal; Burdock; Gentian; Cayenne Pepper; Wood Betony
Uva Ursi,Vitamin World,DSLD-555,Immunity,3239667,2.3,Supports Fluid Balance Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Vitamin World's Guarantee: We use only the finest quality herbs and spices.  Each is screened and finely milled for quick release. Vitamin World's Natural Whole Herb products utilize ground plant parts to provide the natural components in the amounts found in nature. Vitamin World's preservative-free gelatin capsules contain pure milled herb powder. Get healthy.,Uva Ursi
Zygest Super Papaya Plus,Vitamin World,DSLD-556,Healthy Aging,4184892,7.7,Chewable Full Spectrum Formula High Strength Enzymatic Digestive Care This enhanced formula features all the benefits of our Original Papaya Enzyme formula and also includes additional carbohydrate fat and protein enzymes for those seeking a higher level of digestive support. Lipase has been added for fat digestion Bromelain for protein digestion Cellulase for carbohydrate digestion and more. Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Zygest(R) Blend; Protease; Bromelain; Alpha-Amylase; Cellulase; Papain; Lipase; Papaya; Chlorophyll
Vitamin A 10000 IU,Vitamin World,DSLD-557,Immunity,3853114,8.9,Essential for Good Vision Healthy Skin and Hair From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Get healthy.,Vitamin A
Artichoke Extract,Vitamin World,DSLD-558,Immunity,1389687,2.5,Artichokes contain flavonoids; beneficial antioxidants that help fight cell-damaging free radicals. There is also some indication that the flavonoids in Artichoke may also help promote digestive and liver health. Supports Antioxidant Protection Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Vitamin World's Guarantee: We use only the finest quality herbs and spices.  Each is screened and finely milled for quick release. Vitamin World's preservative-free gelatin capsules contain pure milled herb powder. Get healthy.,Artichoke Extract
Premium Lecithin Granules,Vitamin World,DSLD-559,Immunity,1442718,5.0,PROMOTES BRAIN HEALTH AND FUNCTION SUPPORTS HEART HEALTH This product is sold by weight and not volume.  You can be assured of proper weight even though some settling of contents may occur during shipping and handling. Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Calories; Calories from Fat; Total Fat; Saturated Fat; Total Carbohydrates; Calcium; Phosphorus; Potassium; Soy Lecithin; Linoleic Acid; Phosphatidylcholine; Phosphatidylinositol; Linolenic Acid
Bee Pollen Granules,Vitamin World,DSLD-560,Immunity,4387860,8.6,Bee Pollen Granules provide vitamins and trace amounts of amino acids minerals enzymes coenzymes fatty acids carbohydrates and a large spectrum of trace minerals.Bee Pollen Granules: One of nature’s most complete food sources. One of nature's most complete food sources This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Get healthy.,Calories; Total Carbohydrates; Protein; Folic Acid; Bee Pollen granules
Chelated Potassium 99 mg,Vitamin World,DSLD-561,Immunity,3681759,9.0,Potassium is essential for muscle activity and nerve transmission. Potassium also aids in the mineral balance of the blood and works with sodium to regulate the body’s water balance. Promotes Fluid Balance through Electrolyte Replacement This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Get healthy.,Potassium
Zygest Papaya Enzyme,Vitamin World,DSLD-562,Gut Health,1024543,3.4,Chewable Enzymatic Digestive Care Natural Digestive Aid Papaya enjoys a reputation as the perfect “after meal” supplement. That is because it is a natural digestive aid; and the ideal complement to a busy breakfast on-the-go lunch or formal dinner. Take these tablets everywhere and enjoy all the exotic goodness of the “melon of the tropics.” The chewable supplements in this product are formulated without chemical additives or preservatives and they contain less than 1g of carbohydrates per tablet. These delicious tablets are made from beneficial ingredients including: ripe papaya fruit papain (a papaya enzyme) protease and amylase plus an added touch of sucrose for that flavor-filled taste. Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Total Carbohydrates; Sugar; Calcium; Zygest(R) Blend; Papain; Amylase; Protease; Papaya
Sunvite Vitamin D3 400 IU,Vitamin World,DSLD-563,Immunity,4186737,3.6,From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Get healthy. Promotes Bone Colon and Breast Health If you use sunscreen products to protect the health of your skin your body’s natural production of Vitamin D will be reduced.,Vitamin D
Cod Liver Oil,Vitamin World,DSLD-564,Immunity,1946029,5.2,From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Promotes Bone and Skin Health When choosing Cod Liver Oil… make sure it's NORD-GOLD PREMIUM(TM)! Get healthy.,Cholesterol; Vitamin A; Vitamin D; Nord-Gold Premium Cod Liver Oil; Omega-3 Fatty Acids; Eicosapentaenoic Acid; Docosahexaenoic Acid
B-6 50 mg,Vitamin World,DSLD-565,Immunity,2727644,9.4,Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Vitamin B6
B-12 100 mcg,Vitamin World,DSLD-566,Immunity,1160276,3.3,Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Vitamin B12
Beta-Carotene Provitamin A 25000 IU,Vitamin World,DSLD-567,Immunity,1510980,7.9,From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Supports Immune System and Antioxidant Protection Get healthy.,Vitamin A
Complete B Complex,Vitamin World,DSLD-568,Beauty From Within,2333532,9.0,Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Thiamine; Riboflavin; Niacin; Vitamin B6; Folic Acid; Vitamin B12; Biotin; Pantothenic Acid; PABA; Choline Bitartrate; Inositol
C&E With Wild Rose Hips,Vitamin World,DSLD-569,Immunity,1492990,6.1,Beneficial Combination of Antioxidant Factors For over 40 years Vitamin World has pioneered the manufacture of premium nutritional supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it. Get healthy.,Vitamin C; Vitamin E; wild Rose Hips
Valerian Root,Vitamin World,DSLD-570,Immunity,1827000,6.2,Supports Relaxation Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! With the stress of everyday living is it any wonder you may be bothered by occasional sleeplessness? Valerian is designed to help. Valerian works in harmony with your natural cycle to help promote relaxation so you can leave your busy day behind and get the tranquil rest you deserve. Inspired by Mother Nature Valerian supports calm tranquil rest. Get healthy.,Valerian Root
Amino Acid Chelated Copper 2 mg,Vitamin World,DSLD-571,Immunity,3298325,5.3,Assists Iron in the Release of Energy Copper is an essential trace mineral that can be found in your bones muscles blood and brain. This important nutrient assists iron in the body’s process for releasing energy. In addition Copper is critical to many enzymes especially enzymes associated with heart health. This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Get healthy.,Copper
Amino Acid Chelated Manganese 5 mg,Vitamin World,DSLD-572,Immunity,920007,7.3,Manganese is a trace mineral necessary for normal skeletal development. Manganese nourishes the nerves and is needed for protein and carbohydrate production. Manganese Chelate contains 5 mg of the Manganese you need every day to promote well-being. Manganese Chelate is manufactured and tested with care so you can be assured of quality supplementation. Promotes Bone Nerve & Enzymatic Health This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Get healthy.,Manganese
B-12 500 mcg,Vitamin World,DSLD-573,Immunity,1805260,1.2,Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of theart laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Vitamin B12
Timed Release B-12 1000 mcg,Vitamin World,DSLD-574,Immunity,2835713,6.5,Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Vitamin B12
Blackstrap Molasses & Chelated Iron,Vitamin World,DSLD-575,Immunity,903990,2.6,Promotes Red Blood Cell Production This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Get healthy.,Iron; Blackstrap Molasses
Folic Acid 400 mcg,Vitamin World,DSLD-576,Immunity,2432389,6.6,Important Nutrient for Women May reduce the risk of birth defects Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of theart laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Women who consume healthful diets with adequate folic acid may reduce their risk of having a child with birth defects of the brain or spinal cord. Get healthy.,Folic Acid
C-1000 mg With Protective Bioflavonoids,Vitamin World,DSLD-577,Immunity,1957897,9.4,For over 40 years Vitamin World has pioneered the manufacture of premium nutritional supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it. Get healthy.,Vitamin C; Citrus Bioflavonoids
Bilberry Fruit 1000 mg,Vitamin World,DSLD-578,Immunity,3032628,8.3,Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of theart laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority!,Bilberry
Liquid L-Carnitine 500 mg,Vitamin World,DSLD-579,Immunity,840553,5.8,Carnitine is a nitrogen-containing compound that assists in fat metabolism and plays an essential role in making fatty acids available for energy in muscle tissue. Carnitine also supports coronary health. From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Promotes Energy & Fat Metabolism Supports Coronary Health Get healthy. Free formFast acting,Pantothenic Acid; L-Carnitine
Organic Flax Seed Oil 1000 mg,Vitamin World,DSLD-580,Immunity,4751595,4.8,COLD PRESSED For over 40 years Vitamin World has pioneered the manufacture of premium nutritional supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it. MADE WITH NATURAL SOURCE OF HEART HEALTHY NUTRIENTS Our flax oil is encapsulated in amber softgels to protect the active ingredients from light. Each bottle is flushed with nitrogen to safeguard from oxygen exposure.,Calories; Calories from Fat; Total Fat; Polyunsaturated Fat; Monounsaturated Fat; Organic Flaxseed Oil; Alpha-Linolenic Acid; Linoleic Acid; Oleic Acid; Other Fatty Acids
Sublingual B-12 5000 mcg,Vitamin World,DSLD-581,Gut Health,3502329,7.6,Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of theart laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Vitamin B12; Coenzyme B12
Niacin 100 mg,Vitamin World,DSLD-582,Immunity,320755,8.3,Promotes Energy Metabolism Supports Heart Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of theart laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Niacin
C-500 mg,Vitamin World,DSLD-583,Immunity,3799034,8.3,For over 40 years Vitamin World has pioneered the manufacture of premium nutritional supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it. Supports Antioxidant Health & Immune System Function Get healthy.,Vitamin C
Beta-Carotene Provitamin A 10000 IU,Vitamin World,DSLD-584,Immunity,2926916,4.5,Antioxidant Supplement From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Supports Immune System and Antioxidant Protection Get healthy.,Vitamin A
Rutin 500 mg,Vitamin World,DSLD-585,Immunity,1850279,7.5,For over 40 years Vitamin World has pioneered the manufacture of premium nutritional supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it. Natural Glycoside & Protective Bioflavonoid Get healthy.,Rutin
Saw Palmetto,Vitamin World,DSLD-586,Immunity,3786965,9.6,From a 4:1 EXTRACT Men the world over are discovering the beneficial properties of Saw Palmetto. Saw Palmetto is derived from the berry of the Saw Palmetto tree and is the leading herb for men’s health. Saw Palmetto contains phytochemicals which support prostate and urinary health in men. Our Saw Palmetto formula is fully assayed and tested. This means that you receive a dietary supplement that is superior in purity and quality. So discover the beneficial properties of Saw Palmetto; specially designed for a man’s prostate health. Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of-the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Saw Palmetto 4:1 extract
Aloe Vera Gel,Origin Of life,DSLD-587,Immunity,2232266,5.4,99.3% From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! GUARANTEE  -Minimal processing of inner gel  -Aloin removed  -No pesticides used on Aloe Vera plants  -Minimal pasteurization to remove naturally-occuring bacteria NATURAL UNFLAVORED Pleasant Tasting! Protective Antioxidant Since ancient times Aloe Vera has been recognized for its calming and restorative properties. Aloe Vera naturally contains compounds which contribute to the well-being of the body. Aloe Vera has been traditionally used to support the digestive system. Traditional Digestive Aid,Vitamin C; Aloe Vera Leaf Gel
Gentle Iron Iron Glycinate 28 mg,Vitamin World,DSLD-588,Immunity,3903086,2.4,Gentle on your Stomach Promotes Red Blood Cell Production This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Get healthy.,Vitamin C; Folic Acid; Vitamin B12; Iron
Flush Free Niacin 500 mg,Vitamin World,DSLD-589,Immunity,4695009,3.8,Promotes Energy Metabolism Supports Heart Health US Lab Tested Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of-the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Niacin; Inositol
B-1 100 mg,Vitamin World,DSLD-590,Immunity,741457,8.9,Promotes Energy Metabolism Supports Nervous System Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of-the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Thiamine
L-Carnitine 500 mg,Vitamin World,DSLD-591,Immunity,1431117,9.8,Carnitine is a nitrogen-containing compound that assists in fat metabolism and plays an essential role in making fatty acids available for energy in muscle tissue. Carnitine also supports coronary health. From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Promotes Energy & Fat Metabolism Supports Coronary Health Get healthy.,L-Carnitine
Ferrous Sulfate 28 mg Iron,Vitamin World,DSLD-592,Immunity,3164899,1.3,Iron is a necessary component of hemoglobin the oxygen carrier in the blood. Iron is also important for energy utilization. Promotes Red Blood Cell Production This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Get healthy.,Iron
Extra Strength Water Pill,Vitamin World,DSLD-593,Immunity,1960451,6.5,PROMOTES FLUID BALANCE Get healthy.,Potassium; Buchu Extract 4:1; Uva Ursi Extract 3:1; Juniper; Parsley
Cat's Claw Una De Gato 500 mg,Vitamin World,DSLD-594,Immunity,2657484,9.3,Also known as Uña de Gato Cat’s Claw has been used for centuries in the Amazon. Cat’s Claw is an excellent natural antioxidant for the body. It also helps support the body’s immune response. In addition Cat’s Claw supports joint health. Supports Immune System & Joint Health Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of-the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Vitamin World's Guarantee: We use only the finest quality herbs and spices.  Each is screened and finely milled for quick release. Vitamin World's Natural Whole Herb products utilize ground plant parts to provide the natural components in the amounts found in nature. Vitamin World's preservative-free gelatin capsules contain pure milled herb powder.,Cat's Claw
Q-Sorb Co Q-10 120 mg,Vitamin World,DSLD-595,Gut Health,4008090,5.6,This statement has not been evaluated by the Food and Drug Administration. This product is not intended to diagnose treat cure or prevent any disease. QUALITY ASSURED This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products.You have our guarantee! Supports Heart Health When choosing Co Q-10… make sure it’s Q-Sorb(TM)! Get healthy.,Q-Sorb Coenzyme Q-10
DMAE 100 mg,Vitamin World,DSLD-596,Immunity,2997491,5.9,DMAE is related to the B factor choline and is a precursor to acetylcholine. Neuro Precursor QUALITY ASSURED This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products.You have our guarantee! Get healthy.,DMAE
Silymarin Milk-Thistle,Vitamin World,DSLD-597,Immunity,1493216,2.6,QUALITY ASSURED Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of-the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Scientific studies have underscored the ability of Milk Thistle to help maintain healthy liver function. The exceptional benefits of this concentrated herb are due to powerful antioxidant properties which help to support health and well-being. Supports Healthy Liver Function,Milk Thistle
Calcium Magnesium Potassium,Vitamin World,DSLD-598,Immunity,3409374,8.7,Adequate calcium as part of a healthful diet along with physical activity may reduce the risk of osteoporosis in later life. May Reduce the Risk of Osteoporosis Promotes Bone & Colon Health QUALITY ASSURED Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of-the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Get healthy.,Calories; Total Carbohydrates; Dietary Fiber; Calcium; Magnesium; Sodium; Potassium
Chelated Zinc 25 mg,Vitamin World,DSLD-599,Immunity,1880953,1.6,Promotes Immune Skin & Antioxidant Health QUALITY ASSURED This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Zinc: Plays a role in over 300 enzymes in the body. Assists in the formation of DNA the cell’s genetic material. Is essential for cell division and growth. Promotes Skin Health. Helps support immune function. Get healthy.,Zinc
Sublingual B-12 5000 mcg,Vitamin World,DSLD-600,Gut Health,1460051,2.9,Promotes Energy Metabolism QUALITY ASSURED Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of-the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Supports Heart Health Get healthy.,Vitamin B12; Coenzyme B12
Citrus Bioflavonoids 1000 mg,Vitamin World,DSLD-601,Immunity,3720661,7.6,Powerful Antioxidant Flavonoids QUALITY ASSURED For over 40 years Vitamin World has pioneered the manufacture of premium nutritional supplements. Our commitment to quality is the highest in our industry. Every product undergoes rigorous analysis for purity potency safety and freshness. We guarantee it. The natural sources for this product may be affected by seasonal conditions. Occasional color variation of the tablets may result. This does not affect the quality or potency of the product. Get healthy.,Citruis Bioflavonoids Complex
Timed Release B-12 1500 mg,Vitamin World,DSLD-602,Immunity,2440164,7.6,Promotes Energy Metabolism QUALITY ASSURED Vitamin World products are subject to critically stringent quality assurance analysis. Our state-of-the-art laboratory manufacturing and packaging facilities insure the highest quality nutritional supplements money can buy. Your health & safety are our first priority! Supports Heart Health Get healthy.,Vitamin B12
Chelated Zinc 50 mg,Vitamin World,DSLD-603,Immunity,4111866,5.7,Promotes Immune Skin & Antioxidant Health QUALITY ASSURED This product has been developed manufactured and packaged by Vitamin World. Our world-class facilities allow us to control exactly what goes into each product. It is your assurance that you are getting the highest quality and freshest products. You have our guarantee! Zinc is essential for cell division and growth and assists in the formation of DNA the cell’s genetic material. Zinc is also important for supporting carbohydrate protein fat and energy metabolism and for promoting immune system health.,Zinc
Vitamins For The Hair,Vitamin World,DSLD-604,Beauty From Within,1014248,6.2,QUALITY ASSURED From the moment raw ingredients reach our facilities to the time a finished supplement is packaged stringent analysis confirms the potency purity and nutritional content of every nutritional product that bears the Vitamin World name. We guarantee it! Synergistic Beauty Formula For Lustrous Hair Naturally Inspired,Niacin; Folic Acid; Vitamin B12; Pantothenic Acid; Iron; Iodine; Zinc; Copper; Manganese; Sodium; PABA; Choline Bitartrate; Inositol; isolated Soy Protein; Brewer's Yeast
